Date,Currency,Mean,Buy,Sell
21/01/2010,AUSTRALIAN $,69.3898,69.2972,69.4823
22/01/2010,US DOLLAR,75.9339,75.8422,76.0256
22/01/2010,STG POUND,123.173,123.007,123.338
22/01/2010,EURO,107.321,107.179,107.464
22/01/2010,SA RAND,10.0462,10.0046,10.0878
22/01/2010,KES/USHS,25.9437,25.8466,26.0409
22/01/2010,KES/TSHS,17.7853,17.7046,17.866
22/01/2010,AE DIRHAM,20.6736,20.6278,20.7194
22/01/2010,CAN $,72.4183,72.3074,72.5293
22/01/2010,S FRANC,72.9642,72.8558,73.0726
22/01/2010,JPY(100),84.3278,84.2116,84.4441
22/01/2010,SW KRONER,10.5268,10.5038,10.5499
22/01/2010,NOR KRONER,13.1137,13.0941,13.1334
22/01/2010,DAN KRONER,14.4238,14.4055,14.442
22/01/2010,IND RUPEE,1.6449,1.6423,1.6474
22/01/2010,HONGKONG $,9.7703,9.7581,9.7824
22/01/2010,SINGAPORE $,54.0725,53.9802,54.1647
22/01/2010,SAUDI RIYAL,20.2483,20.1977,20.2989
22/01/2010,CHINESE YUAN,11.1213,11.1062,11.1363
22/01/2010,AUSTRALIAN $,68.6556,68.5614,68.7499
25/01/2010,US DOLLAR,75.9622,75.8706,76.0539
25/01/2010,STG POUND,122.529,122.373,122.686
25/01/2010,EURO,107.604,107.465,107.742
25/01/2010,SA RAND,10.0064,9.9879,10.0249
25/01/2010,KES/USHS,25.4075,25.311,25.504
25/01/2010,KES/TSHS,17.7655,17.7111,17.8198
25/01/2010,AE DIRHAM,20.6813,20.6557,20.7068
25/01/2010,CAN $,72.0054,71.9012,72.1096
25/01/2010,S FRANC,73.0667,72.9571,73.1763
25/01/2010,JPY(100),84.2434,84.1508,84.336
25/01/2010,SW KRONER,10.5067,10.4892,10.5242
25/01/2010,NOR KRONER,13.1271,13.1045,13.1498
25/01/2010,DAN KRONER,14.4533,14.4331,14.4735
25/01/2010,IND RUPEE,1.6447,1.6423,1.6472
25/01/2010,HONGKONG $,9.774,9.762,9.7859
25/01/2010,SINGAPORE $,54.2046,54.1121,54.2971
25/01/2010,SAUDI RIYAL,20.2558,20.2305,20.281
25/01/2010,CHINESE YUAN,11.1254,11.1104,11.1405
25/01/2010,AUSTRALIAN $,68.8522,68.7539,68.9505
